DEPARTMENT_ID,DEPARTMENT_NAME,MANAGER_ID,LOCATION_ID
10,Administration,200.0,1700
20,Marketing,201.0,1800
30,Purchasing,114.0,1700
40,Human Resources,203.0,2400
50,Shipping,121.0,1500
60,IT,103.0,1400
70,Public Relations,204.0,2700
80,Sales,145.0,2500
90,Executive,100.0,1700
100,Finance,108.0,1700
110,Accounting,205.0,1700
120,Treasury,0.0,1700
130,Corporate Tax,0.0,1700
140,Control And Credit,0.0,1700
150,Shareholder Services,0.0,1700
160,Benefits,0.0,1700
170,Manufacturing,0.0,1700
180,Construction,0.0,1700
190,Contracting,0.0,1700
200,Operations,0.0,1700
210,IT Support,0.0,1700
220,NOC,0.0,1700
230,IT Helpdesk,0.0,1700
240,Government Sales,0.0,1700
250,Retail Sales,0.0,1700
260,Recruiting,0.0,1700
270,Payroll,0.0,1700
